,EVANEA,Etabt second.,LEVALLOIS PERRET,92,6430Z - Fonds de placement et entités financières similaires,10 à 19
,EXCLUSIVE GROUP,Siège,BOULOGNE BILLANCOURT,92,6420Z - Activités des sociétés holding,10 à 19
,EXELTIS FRANCE,Siège,SEVRES,92,6420Z - Activités des sociétés holding,10 à 19
,EXXELIA SUPPLY,Siège,PARIS 11,75,6420Z - Activités des sociétés holding,10 à 19
,FABRE INDUSTRIE SAS,Siège,AUBERVILLIERS,93,6430Z - Fonds de placement et entités financières similaires,20 à 49
,FACILICOM SERVICES GROUP,Siège,SUCY EN BRIE,94,6420Z - Activités des sociétés holding,20 à 49
,FAIVELEY TRANSPORT,Siège,GENNEVILLIERS,92,6420Z - Activités des sociétés holding,100 à 199
,FAURE HOLDING,Siège,NEUILLY PLAISANCE,93,6420Z - Activités des sociétés holding,10 à 19
,FAURECIA AUTOMOTIVE HOLDINGS,Siège,NANTERRE,92,6420Z - Activités des sociétés holding,20 à 49
,FB2M FINANCE,Siège,PARIS 19,75,6420Z - Activités des sociétés holding,10 à 19
,FCA CAPITAL FRANCE,Siège,TRAPPES,78,6492Z - Autre distribution de crédit,20 à 49
